order_date, order_week, distribution_center, sales_order, pool, item_number, mold, order_quantity, ship_month, week_ship, production_department, cast_completed, cast_shortage, casting_deadline, export_to_ie, pending_export, remarks
2024-11-26 00:18:39,W48,TDC,SO24004040,OEM Replenishment order,163288C00-60,,50.0,Jan,W4,Cell-5,,-50,,,-50,
2024-11-26 00:15:35,W48,EDC,SO24004030,OEM Replenishment order,263002C01,,1000.0,Jan,W4,Cell-1,,-1000,,,-1000,
2024-11-26 00:15:36,W48,EDC,SO24004030,OEM Replenishment order,263015C01,,900.0,Jan,W4,Cell-5,,-900,,,-900,
2024-11-26 00:18:39,W48,TDC,SO24004040,OEM Replenishment order,263280C00,,50.0,Jan,W4,Cell-5,,-50,,,-50,
2024-11-26 00:18:39,W48,TDC,SO24004040,OEM Replenishment order,263308C00,,50.0,Jan,W4,Cell-5,,-50,,,-50,
2024-11-26 00:18:36,W48,TDC,SO24004040,OEM Replenishment order,266317C01,,400.0,Jan,W4,Cell-5,,-400,,,-400,
2024-11-26 00:18:36,W48,TDC,SO24004040,OEM Replenishment order,368638C00-60,,50.0,Jan,W4,Cell-1,,-50,,,-50,
2024-11-26 00:17:46,W48,PAN,SO24004037,OEM Replenishment order,563317C00-1,,150.0,Jan,W4,Cell-1,,-150,,,-150,
2024-11-26 00:17:47,W48,PAN,SO24004037,OEM Replenishment order,563317C00-3,,50.0,Jan,W4,Cell-1,,-50,,,-50,
2024-11-26 00:17:47,W48,PAN,SO24004037,OEM Replenishment order,763366C01,,250.0,Jan,W4,Cell-1,,-250,,,-250,
2024-11-26 00:18:39,W48,TDC,SO24004040,OEM Replenishment order,763442C01,,200.0,Jan,W4,Cell-1,,-200,,,-200,
2024-11-26 00:15:37,W48,EDC,SO24004030,OEM Replenishment order,763624C01,,1750.0,Jan,W4,Cell-1,,-1750,,,-1750,
2024-11-26 00:19:08,W48,TDC,SO24004041,OEM Essential Order,763666C00,,300.0,Jan,W4,Cell-1,,-300,,,-300,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,193158C01-56,,50.0,Jan,W5,Cell-5,,-50,,,-50,
